
映像名称                       PID 会话名              会话#       内存使用 
StartMenuExperienceHost.e    10896 Console                    1     19,292 K
RuntimeBroker.exe            11172 Console                    1      6,336 K
GCUService.exe               10152 Console                    1      8,636 K
SearchApp.exe                 3456 Console                    1    103,004 K
SearchIndexer.exe            10856 Services                   0     43,504 K
RuntimeBroker.exe            11448 Console                    1     18,660 K
YourPhone.exe                11656 Console                    1     27,976 K
SettingSyncHost.exe          11916 Console                    1      2,164 K
LockApp.exe                  11384 Console                    1         16 K
RuntimeBroker.exe            10376 Console                    1      8,768 K
GoogleCrashHandler.exe        7468 Services                   0         16 K
GoogleCrashHandler64.exe      8404 Services                   0         16 K
OSDTpDetect.exe              13024 Console                    1      5,164 K
TextInputHost.exe            13220 Console                    1     14,784 K
RuntimeBroker.exe             9148 Console                    1      4,128 K
smartscreen.exe              13060 Console                    1     12,140 K
QQ.exe                       10272 Console                    1    213,924 K
SecurityHealthSystray.exe    11996 Console                    1      3,468 K
SecurityHealthService.exe    11992 Services                   0     15,452 K
RuntimeBroker.exe            12648 Console                    1     14,380 K
RtkAudUService64.exe         12984 Console                    1      1,552 K
HipsTray.exe                 12016 Console                    1      4,384 K
AssistiveTouch.exe           11108 Console                    1     33,380 K
SunloginClient.exe           10324 Console                    1      9,452 K
THTFTray.exe                 13272 Console                    1        772 K
yundetectservice.exe         13376 Console                    1      3,624 K
svchost.exe                  13500 Services                   0      3,960 K
IGCCTray.exe                 13532 Console                    1     18,716 K
IGCC.exe                     13728 Console                    1     25,160 K
Everything.exe               13968 Console                    1      3,068 K
ChsIME.exe                   14080 Console                    1      3,348 K
audiodg.exe                  14160 Services                   0     17,132 K
Everything.exe                1644 Console                    1    112,612 K
TXPlatform.exe               13924 Console                    1      2,568 K
ApplicationFrameHost.exe      2384 Console                    1     18,332 K
WinStore.App.exe              8816 Console                    1         16 K
RuntimeBroker.exe            12796 Console                    1      2,576 K
svchost.exe                  14324 Services                   0      3,524 K
svchost.exe                   5848 Services                   0      3,460 K
RuntimeBroker.exe            14348 Console                    1     14,440 K
SSTap.exe                     9356 Console                    1     39,188 K
SystemSettings.exe           14724 Console                    1         16 K
ShellExperienceHost.exe       3176 Console                    1     45,652 K
RuntimeBroker.exe             6400 Console                    1     19,100 K
svchost.exe                  15656 Services                   0     18,052 K
svchost.exe                  15756 Services                   0      6,448 K
SgrmBroker.exe               16100 Services                   0      8,340 K
svchost.exe                  16188 Services                   0      5,520 K
svchost.exe                  16292 Services                   0     12,056 K
svchost.exe                  16372 Console                    1      2,940 K
cmd.exe                       1492 Console                    1        612 K
conhost.exe                   2244 Console                    1        600 K
cmd.exe                       1108 Console                    1        596 K
conhost.exe                  15020 Console                    1        328 K
Calculator.exe               15884 Console                    1      1,492 K
RuntimeBroker.exe             4640 Console                    1      7,368 K
notepad.exe                  15716 Console                    1     22,960 K
UserOOBEBroker.exe            4784 Console                    1      9,980 K
360zip.exe                    2864 Console                    1     38,824 K
360zip.exe                    1496 Console                    1     38,736 K
msedge.exe                    1352 Console                    1    216,004 K
msedge.exe                    5464 Console                    1      8,164 K
msedge.exe                    6044 Console                    1    187,796 K
msedge.exe                    2060 Console                    1     47,140 K
msedge.exe                   14172 Console                    1     21,204 K
msedge.exe                    7052 Console                    1    105,332 K
msedge.exe                   16096 Console                    1    117,940 K
msedge.exe                     328 Console                    1    148,612 K
msedge.exe                   14676 Console                    1     75,636 K
msedge.exe                    4564 Console                    1     62,824 K
msedge.exe                    4452 Console                    1     49,560 K
msedge.exe                   16272 Console                    1     84,080 K
msedge.exe                   11912 Console                    1    103,336 K
msedge.exe                   14208 Console                    1     87,812 K
msedge.exe                    5208 Console                    1     86,012 K
msedge.exe                   10128 Console                    1     90,300 K
msedge.exe                    7812 Console                    1     82,356 K
msedge.exe                    2696 Console                    1     95,796 K
msedge.exe                   11540 Console                    1     28,676 K
360zip.exe                    8936 Console                    1     33,528 K
360zip.exe                    4528 Console                    1     38,048 K
mspdbsrv.exe                 14220 Console                    1      6,452 K
Taskmgr.exe                   4444 Console                    1     67,304 K
svchost.exe                   7292 Services                   0      7,956 K
Typora.exe                    5096 Console                    1     95,616 K
Typora.exe                   15968 Console                    1     79,584 K
Typora.exe                   11704 Console                    1     37,984 K
Typora.exe                   13848 Console                    1    120,244 K
SearchProtocolHost.exe       14804 Console                    1      8,696 K
PotPlayerMini64.exe          15280 Console                    1    156,332 K
devenv.exe                   14608 Console                    1    350,772 K
vcpkgsrv.exe                  2916 Console                    1     14,680 K
MSBuild.exe                  14644 Console                    1     35,184 K
conhost.exe                   4704 Console                    1     10,956 K
SearchFilterHost.exe         15576 Services                   0      7,752 K
ProgramStructure.exe          9384 Console                    1      4,672 K
conhost.exe                  14592 Console                    1     20,496 K
cmd.exe                       5936 Console                    1      5,620 K
tasklist.exe                  3712 Console                    1      9,376 K
